date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:28	46/46	---M-Z	200	added ('OK')	text/plain	date:Thu,%2004%20Jan%202018%2010:51:26%20GMT	http://assurancelendinggroup.com/robots.txt		(from )
16:21:30	62424/62424	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202018%2010:51:26%20GMT	http://assurancelendinggroup.com/	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/index.html	(from )
16:21:31	1139/1139	---M--	403	error ('Forbidden')	text/html	date:Thu,%2004%20Jan%202018%2010:51:31%20GMT	http://assurancelendinggroup.com/xmlrpc.php	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/xmlrpc.php	(from http://assurancelendinggroup.com/)
16:21:32	15162/15162	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2020:39:03%20GMT	http://assurancelendinggroup.com/wp-content/plugins/LayerSlider/static/css/layerslider.css?ver=5.0.2	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/wp-content/plugins/LayerSlider/static/css/layersliderce52.css	(from http://assurancelendinggroup.com/)
16:21:34	829/829	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202018%2010:51:33%20GMT	http://assurancelendinggroup.com/?mcsf_action=main_css&ver=4.9.1	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/index720b.html	(from http://assurancelendinggroup.com/)
16:21:34	885/885	---M--	200	added ('OK')	application/rss+xml	etag:%22105a5a003fae054bfa41a3fa897fa7ed%22	http://assurancelendinggroup.com/feed/	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/feed/index.html	(from http://assurancelendinggroup.com/)
16:21:34	776/776	---M--	200	added ('OK')	application/rss+xml	etag:%2259f967c5fdc1af5162e14d47ae01d35e%22	http://assurancelendinggroup.com/comments/feed/	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/comments/feed/index.html	(from http://assurancelendinggroup.com/)
16:21:34	753/753	---M--	200	added ('OK')	application/rss+xml	etag:%2259f967c5fdc1af5162e14d47ae01d35e%22	http://assurancelendinggroup.com/home/feed/	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/home/feed/index.html	(from http://assurancelendinggroup.com/)
16:21:34	32571/32571	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2020:39:03%20GMT	http://assurancelendinggroup.com/wp-content/plugins/revslider/rs-plugin/css/settings.css?rev=4.2.3&ver=4.9.1	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/wp-content/plugins/revslider/rs-plugin/css/settings8fe1.css	(from http://assurancelendinggroup.com/)
16:21:35	3346/3346	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202017%2020:58:47%20GMT	http://assurancelendinggroup.com/wp-content/plugins/revslider/rs-plugin/css/dynamic-captions.css?rev=4.2.3&ver=4.9.1	/Users/shivamgupta/websites/rishi%20marko/assurancelendinggroup.com/wp-content/plugins/revslider/rs-plugin/css/dynamic-captions8fe1.css	(from http://assurancelendinggroup.com/)
